Fish_ID;Capture_Year;Capture_Qtr;Year_Class;Age_Capture;Decades;Decade;ICES_SD;TL_mm;Oto_Dors_L;Age;Ages;New L_age;Cal_Year;Annulus_Width;Cum_Ann_Width;Avg_MnMg06;Mg ESF06;Avg_SrCa;New_Salinity_class;SMHI year;SMHI hypox;Decade_anox_ch;Decade_anox;Year_hyp;Hypoxic volume 2;Hypoxic volume 0;Temp_year;T BY15 Annual. 30-90 m;T BY15 Q4. 30-90 m;BY15 Q4 salinitet 30_90m;Mean annual sal BY15 30_90 m ;O sat year;Neo year;Neo mean MnMg
107 SD25 1989;1989;1;1985;4;1980s;1980s;25;530;5087;2;3;395.314161906638;1987;1480;3787;0.210897984;0.074906074;4.85074922;4;;;;;;;;;;;;;;;
107 SD25 1989;1989;1;1985;4;1980s;1980s;25;530;5087;3;4;530;1988;1300;5087;0.242900986;0.131435773;5.086456007;4;;;;;;;;;;;;;;;
2007-10-29_1008;2007;4;2001;6;2000s;2000s;25;900;5185;0;1;119.7779942;2001;721;721;1.669710974;0.057303588;3.427665217;2;;;;;;;;;;;;;;;
108 SD25 1989;1989;1;1985;4;1980s;1980s;25;510;3919;1;2;269.232540291635;1986;1235;2059;0.468524284;0.072959307;3.694650322;2;;;;;;;;;;;;;;;
108 SD25 1989;1989;1;1985;4;1980s;1980s;25;510;3919;3;4;510;1988;571;3919;0.27567708;0.100910609;5.390734997;4;;;;;;;;;;;;;;;
108 SD25 1989;1989;1;1985;4;1980s;1980s;25;510;3919;2;3;436.086978766948;1987;1289;3348;0.433572095;0.063418121;5.578888181;4;;;;;;;;;;;;;;;
752 SD28 1988;1988;1;1974;14;1980s;1980s;28;890;7171;0;1;111.6413909;1974;880;880;0.655519859;0.048990472;2.767696829;1;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;1;2;256.125358459648;1932;720;1576;0.343686828;0.098822065;3.435597284;2;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;6;7;757.961081523966;1937;326;4693;0.070911532;0.09523482;4.563947055;3;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;5;6;705.475215075789;1936;473;4367;0.079434561;0.09751587;4.918042442;4;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;4;5;629.322408848832;1935;692;3894;0.084510215;0.095814894;5.035116763;4;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;2;3;375.104055714871;1933;739;2315;0.122976067;0.101222663;5.065458109;4;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;7;8;790;1938;199;4892;0.118441853;0.060361335;5.170242318;4;;;;;;;;;;;;;;;
1087 SD25 1939;1939;2;1931;8;1930s;1930s;25;790;4892;3;4;517.910692339205;1934;887;3202;0.082677803;0.087792612;5.786749715;4;;;;;;;;;;;;;;;
1098 SD25 1939 ;1939;2;1933;6;1930s;1930s;25;880;5613;0;1;114.5357844;1933;717;717;0.645491285;0.069715585;3.953277347;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;2;3;358.149694349187;1930;728;2957;0.280302423;0.04344029;3.11772429;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;5;6;597.894736842105;1933;475;4952;0.120303918;0.057582176;3.319127631;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;6;7;671.680930371254;1934;614;5566;0.116652155;0.046640498;3.452375553;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;4;5;540.812583867601;1932;906;4477;0.112445469;0.05067097;3.606853187;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;10;11;810;1938;153;6717;0.108715563;0.046567929;4.340469418;3;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;9;10;791.613538094528;1937;241;6564;0.169413655;0.038738458;4.581273386;3;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;8;9;762.651856269569;1936;412;6323;0.156444619;0.034400548;5.072382347;4;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;7;8;713.140599373789;1935;345;5911;0.240225375;0.034729561;4.307186733;3;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;3;4;431.935887878336;1931;614;3571;0.207619343;0.044352287;3.665291956;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;1;2;270.663784106158;1929;1129;2229;0.395427854;0.04371758;3.6174162;2;;;;;;;;;;;;;;;
1090 SD25 1939;1939;2;1932;7;1930s;1930s;25;810;6578;6;7;801.778014616322;1938;366;6511;0.257240162;0.025163832;8.053013111;4;;;;;;;;;;;;;;;
1090 SD25 1939;1939;2;1932;7;1930s;1930s;25;810;6578;5;6;756.863885505481;1937;689;6145;0.225555661;0.030032365;5.53403088;4;;;;;;;;;;;;;;;
1090 SD25 1939;1939;2;1932;7;1930s;1930s;25;810;6578;4;5;672.312423873325;1936;624;5456;0.248856813;0.032775278;4.566777387;3;;;;;;;;;;;;;;;
1090 SD25 1939;1939;2;1932;7;1930s;1930s;25;810;6578;3;4;595.737515225335;1935;1335;4832;0.171168952;0.051760635;5.408533316;4;;;;;;;;;;;;;;;
1090 SD25 1939;1939;2;1932;7;1930s;1930s;25;810;6578;2;3;431.911388550548;1934;1825;3497;0.257826827;0.065595845;4.681130692;4;;;;;;;;;;;;;;;
1090 SD25 1939;1939;2;1932;7;1930s;1930s;25;810;6578;1;2;207.954323995128;1933;1029;1672;0.4421243;0.066938563;3.860558268;2;;;;;;;;;;;;;;;
SD25_1995_CAP-1345;1995;4;1988;7;1990s;1990s;25;872;6048;0;1;125.1403801;1988;896;896;0.645640443;0.05705997;3.246181455;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;11;12;860;1938;96;6905;0.131353075;0.025437865;5.24474808;4;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;10;11;848.081798404641;1937;213;6809;0.183087555;0.028120018;5.646418636;4;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;9;10;821.638288614938;1936;224;6596;0.132966084;0.029501976;6.84529613;4;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;8;9;793.829151559101;1935;291;6372;0.149855252;0.029424711;5.281559929;4;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;7;8;757.702102973169;1934;426;6081;0.154668679;0.035245824;4.045967409;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;6;7;704.815083393764;1933;593;5655;0.285872449;0.042745552;3.02185699;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;5;6;631.195358955765;1932;788;5062;0.149423057;0.044696071;3.265300578;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;4;5;533.366787527194;1931;625;4274;0.131989294;0.055194949;3.44555656;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;3;4;455.774329224075;1930;894;3649;0.181795492;0.058251648;3.639992785;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;2;3;344.786076867295;1929;696;2755;0.264112928;0.042650684;4.041103175;2;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;1;2;258.379115300943;1928;1573;2059;0.55323287;0.054282314;3.702532637;2;;;;;;;;;;;;;;;
2004_SD25_288;2004;1;1997;7;2000s;2000s;25;870;5666;0;1;196.6145686;1997;1268;1268;0.92947692;0.052868814;3.377145465;2;;;;;;;;;;;;;;;
1098 SD25 1939 ;1939;2;1933;6;1930s;1930s;25;880;5613;5;6;880;1938;277;5613;0.141087025;0.036116656;4.696381112;4;;;;;;;;;;;;;;;
1098 SD25 1939 ;1939;2;1933;6;1930s;1930s;25;880;5613;4;5;836.692486168124;1937;785;5336;0.134886347;0.046771239;3.6686536;2;;;;;;;;;;;;;;;
1098 SD25 1939 ;1939;2;1933;6;1930s;1930s;25;880;5613;3;4;713.961806175263;1936;912;4551;0.088806456;0.070117663;2.906411405;1;;;;;;;;;;;;;;;
1098 SD25 1939 ;1939;2;1933;6;1930s;1930s;25;880;5613;2;3;571.375334642156;1935;1044;3639;0.098577045;0.072710173;4.187501453;3;;;;;;;;;;;;;;;
1098 SD25 1939 ;1939;2;1933;6;1930s;1930s;25;880;5613;1;2;408.151347492415;1934;1878;2595;0.328653395;0.089836437;4.210467693;3;;;;;;;;;;;;;;;
1096 SD25 1939;1939;2;1927;12;1930s;1930s;25;860;6905;0;1;63.09441624;1927;486;486;0.366196743;0.053127082;2.623273561;1;;;;;;;;;;;;;;;
11 SD25 1949;1949;2;1946;2;1940s;1940s;25;250;2098;1;2;224.080459770115;1947;1030;1878;0.613424811;0.057830908;5.364711507;4;;;;;;;;;;;;;;;
2 SD25 1949;1949;2;1938;12;1940s;1940s;25;860;7487;0;1;132.1080647;1938;1129;1129;0.396667303;0.050269628;3.079531719;2;;;;;;;;;;;;;;;
110 SD25 1989;1989;1;1985;4;1980s;1980s;25;490;3987;3;4;490;1988;650;3987;0.06634053;0.200590899;4.200814521;3;;;;;;;;;;;;;;;
110 SD25 1989;1989;1;1985;4;1980s;1980s;25;490;3987;2;3;410.568267538345;1987;973;3337;0.336927453;0.090046501;4.299344267;3;;;;;;;;;;;;;;;
110 SD25 1989;1989;1;1985;4;1980s;1980s;25;490;3987;1;2;291.665074176515;1986;1366;2364;0.287085012;0.094427367;4.101737135;3;;;;;;;;;;;;;;;
2004_SD25_287;2004;1;1992;12;2000s;2000s;25;850;5328;0;1;119.0165476;1992;733;733;0.533166071;0.065795059;3.316092616;2;;;;;;;;;;;;;;;
113 SD25 1989;1989;1;1986;3;1980s;1980s;25;480;3589;2;3;480;1988;731;3589;1.237750839;0.049918474;5.644807528;4;;;;;;;;;;;;;;;
113 SD25 1989;1989;1;1986;3;1980s;1980s;25;480;3589;1;2;382.778429728975;1987;1633;2858;0.551422093;0.075618461;4.402026736;3;;;;;;;;;;;;;;;
Hypoxolith_C91_05_29;1996;3;1992;4;1990s;1990s;25;850;4437;0;1;145.7962503;1992;752;752;0.676801704;0.045049018;2.990750263;1;;;;;;;;;;;;;;;
116 SD25 1989;1989;1;1986;3;1980s;1980s;25;460;3784;2;3;460;1988;1214;3784;0.170959138;0.072091432;4.04202231;2;;;;;;;;;;;;;;;
116 SD25 1989;1989;1;1986;3;1980s;1980s;25;460;3784;1;2;313.316375198728;1987;1494;2570;0.298870721;0.06927748;3.905351631;2;;;;;;;;;;;;;;;
Hypoxolith_C88_07_1328;1995;4;1989;6;1990s;1990s;25;843;5377;0;1;152.3530837;1989;959;959;0.636738365;0.05047121;3.100677926;2;;;;;;;;;;;;;;;
117 SD28 1948;1948;2;1944;4;1940s;1940s;28;360;3955;3;4;344.929784537389;1947;905;3788;0.137266937;0.132888584;4.681819567;4;;;;;;;;;;;;;;;
117 SD28 1948;1948;2;1944;4;1940s;1940s;28;360;3955;2;3;263.261850443599;1946;1065;2883;0.139193696;0.125058026;3.690539593;2;;;;;;;;;;;;;;;
117 SD28 1948;1948;2;1944;4;1940s;1940s;28;360;3955;1;2;167.155386565272;1945;938;1818;0.220737381;0.145971974;3.469862657;2;;;;;;;;;;;;;;;
1994_SD25-1633;1994;4;1990;6;1990s;1990s;25;842;4806;0;1;135.0619218;1989;846;846;1.054842877;0.045913097;2.387050865;1;;;;;;;;;;;;;;;
118 SD25 1989;1989;1;1986;3;1980s;1980s;25;420;3742;2;3;420.334405144695;1988;862;3745;0.218148586;0.075114873;5.798763386;4;;;;;;;;;;;;;;;
118 SD25 1989;1989;1;1986;3;1980s;1980s;25;420;3742;1;2;324.248660235799;1987;1754;2883;0.268366873;0.084932684;4.38681616;3;;;;;;;;;;;;;;;
407 SD25 1988;1988;1;1981;7;1980s;1980s;25;840;5815;0;1;138.0768303;1981;941;941;0.749690277;0.042788531;2.824350239;1;;;;;;;;;;;;;;;
119 SD28 1948;1948;2;1942;6;1940s;1940s;28;580;4367;5;6;580;1947;157;4367;0.264639867;0.054734522;6.980864777;4;;;;;;;;;;;;;;;
119 SD28 1948;1948;2;1942;6;1940s;1940s;28;580;4367;4;5;559.244434243746;1946;273;4210;0.159058104;0.060601796;5.373694503;4;;;;;;;;;;;;;;;
119 SD28 1948;1948;2;1942;6;1940s;1940s;28;580;4367;3;4;523.153546017902;1945;614;3937;0.082922112;0.104262948;4.674700318;4;;;;;;;;;;;;;;;
119 SD28 1948;1948;2;1942;6;1940s;1940s;28;580;4367;2;3;441.982097773697;1944;959;3323;0.102433369;0.10873866;5.84287185;4;;;;;;;;;;;;;;;
119 SD28 1948;1948;2;1942;6;1940s;1940s;28;580;4367;1;2;315.201285288042;1943;1363;2364;0.227276584;0.101993988;5.224914659;4;;;;;;;;;;;;;;;
805 SD28 1988;1988;1;1980;8;1980s;1980s;28;840;7838;0;1;134.8252427;1980;1235;1235;0.554977655;0.051498937;2.878499913;1;;;;;;;;;;;;;;;
12 SD25 1949;1949;2;1943;6;1940s;1940s;25;410;4722;5;6;410;1948;242;4722;NA;0.030221913;7.890085396;4;;;;;;;;;;;;;;;
12 SD25 1949;1949;2;1943;6;1940s;1940s;25;410;4722;4;5;389.148556876061;1947;564;4480;2.573015363;0.032407085;9.991965255;4;;;;;;;;;;;;;;;
12 SD25 1949;1949;2;1943;6;1940s;1940s;25;410;4722;3;4;340.552631578947;1946;1019;3916;1.466436961;0.037024902;11.67669252;4;;;;;;;;;;;;;;;
12 SD25 1949;1949;2;1943;6;1940s;1940s;25;410;4722;2;3;252.752546689304;1945;817;2897;0.223698629;0.051910031;7.993941803;4;;;;;;;;;;;;;;;
12 SD25 1949;1949;2;1943;6;1940s;1940s;25;410;4722;1;2;182.357385398981;1944;1516;2080;0.487449003;0.077141125;3.765358188;2;;;;;;;;;;;;;;;
Ö-9702 SD25 1971;1971;1;1964;7;1960s;1960s;25;840;5197;0;1;159.6923077;1964;976;976;0.417306963;0.058778502;2.915241928;1;;;;;;;;;;;;;;;
120 SD28 1948;1948;2;1941;7;1940s;1940s;28;530;4665;6;7;530;1947;217;4665;0.325890799;0.029565663;7.603151962;4;;;;;;;;;;;;;;;
120 SD28 1948;1948;2;1941;7;1940s;1940s;28;530;4665;5;6;505.47969924812;1946;440;4448;0.190107821;0.0377717;5.020289139;4;;;;;;;;;;;;;;;
120 SD28 1948;1948;2;1941;7;1940s;1940s;28;530;4665;4;5;455.76111707841;1945;912;4008;0.122086431;0.049796736;4.420856091;3;;;;;;;;;;;;;;;
120 SD28 1948;1948;2;1941;7;1940s;1940s;28;530;4665;3;4;352.708055853921;1944;838;3096;0.188114996;0.052086524;4.471988009;3;;;;;;;;;;;;;;;
120 SD28 1948;1948;2;1941;7;1940s;1940s;28;530;4665;2;3;258.016756176155;1943;732;2258;0.216572229;0.047118748;4.37041618;3;;;;;;;;;;;;;;;
120 SD28 1948;1948;2;1941;7;1940s;1940s;28;530;4665;1;2;175.303114930183;1942;922;1526;0.434787376;0.061027661;4.130754291;3;;;;;;;;;;;;;;;
753 SD28 1988;1988;1;1975;13;1980s;1980s;28;830;5637;0;1;97.94704105;1975;650;650;0.615082963;0.039428046;3.497412899;2;;;;;;;;;;;;;;;
121 SD28 1948;1948;2;1943;5;1940s;1940s;28;630;4058;4;5;630;1947;480;4058;0.427781272;0.034062586;4.324246609;3;;;;;;;;;;;;;;;
121 SD28 1948;1948;2;1943;5;1940s;1940s;28;630;4058;3;4;555.770750988142;1946;600;3578;0.191621831;0.043345273;2.961880453;1;;;;;;;;;;;;;;;
121 SD28 1948;1948;2;1943;5;1940s;1940s;28;630;4058;2;3;462.98418972332;1945;1150;2978;0.207546386;0.059878182;4.327975416;3;;;;;;;;;;;;;;;
121 SD28 1948;1948;2;1943;5;1940s;1940s;28;630;4058;1;2;285.143280632411;1944;1217;1828;0.538751826;0.059888872;3.811034744;2;;;;;;;;;;;;;;;
Hypoxolith_C88_07_381;1995;1;1989;6;1990s;1990s;25;824;4888;0;1;141.3390734;1989;827;827;0.927572447;0.053846549;2.681587205;1;;;;;;;;;;;;;;;
122 SD28 1948;1948;2;1942;6;1940s;1940s;28;610;3941;5;6;610;1947;132;3941;0.118731376;0.075195309;6.480559434;4;;;;;;;;;;;;;;;
122 SD28 1948;1948;2;1942;6;1940s;1940s;28;610;3941;4;5;589.650979394556;1946;245;3809;0.118570282;0.083226687;4.541086458;3;;;;;;;;;;;;;;;
122 SD28 1948;1948;2;1942;6;1940s;1940s;28;610;3941;3;4;551.881963876876;1945;259;3564;0.097410873;0.106657534;3.176704101;2;;;;;;;;;;;;;;;
122 SD28 1948;1948;2;1942;6;1940s;1940s;28;610;3941;2;3;511.954718901043;1944;540;3305;0.156186867;0.11488096;4.292020292;3;;;;;;;;;;;;;;;
122 SD28 1948;1948;2;1942;6;1940s;1940s;28;610;3941;1;2;428.708725515136;1943;1835;2765;0.243153185;0.162104893;4.578644204;3;;;;;;;;;;;;;;;
Hypoxolith_C05_05_02;2010;1;2004;6;2000s;2000s;25;820;5581;0;1;110.4857297;2004;737;737;0.576543824;0.088904178;2.582935645;1;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;7;8;710;1947;426;7235;0.172557212;0.041584319;6.067312489;4;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;6;7;668.372871972318;1946;920;6809;0.220261444;0.029845759;5.733465853;4;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;5;6;578.473910034602;1945;958;5889;0.121634309;0.044706275;5.609707734;4;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;4;5;484.861730103806;1944;966;4931;0.097838151;0.072479301;6.287005816;4;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;3;4;390.467820069204;1943;940;3965;0.143443987;0.094278366;5.990018288;4;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;2;3;298.614532871972;1942;1129;3025;0.134018287;0.128433939;5.47596633;4;;;;;;;;;;;;;;;
123 SD28 1948;1948;2;1940;8;1940s;1940s;28;710;7235;1;2;188.292871972318;1941;1218;1896;0.177851191;0.098590191;3.282493661;2;;;;;;;;;;;;;;;
1089 SD25 1939 ;1939;2;1928;11;1930s;1930s;25;810;6717;0;1;134.9885195;1928;1100;1100;0.723017593;0.053191838;2.966301457;1;;;;;;;;;;;;;;;
125 SD25 1989;1989;1;1986;3;1980s;1980s;25;390;3412;2;3;390;1988;1051;3412;0.162994597;0.07671307;5.324696216;4;;;;;;;;;;;;;;;
125 SD25 1989;1989;1;1986;3;1980s;1980s;25;390;3412;1;2;270.750734861846;1987;1498;2361;0.331607415;0.066355822;3.953039131;2;;;;;;;;;;;;;;;
